blue_gold,blue_xp,blue_barons,blue_dragons,blue_towers,blue_inhibitors,blue_riftHeralds,blue_champions,blue_atakhans,blue_hordes,red_gold,red_xp,red_barons,red_dragons,red_towers,red_inhibitors,red_riftHeralds,red_champions,red_atakhans,red_hordes,label
28205,32438,0,1,0,0,0,11,0,3,34063,39385,0,1,1,0,0,25,0,3,0
37564,46151,0,1,3,0,1,17,0,4,33591,39600,0,2,1,0,0,13,0,2,1
46553,58357,0,0,2,0,0,20,0,2,57700,74603,1,2,8,1,1,39,1,4,0
67775,80282,1,3,9,0,1,41,0,2,58258,73381,0,1,3,0,0,27,1,4,1
91334,120858,1,2,7,1,0,56,1,3,94176,125005,2,5,12,5,1,46,0,3,0
45444,55450,0,1,3,0,0,14,0,3,57097,74424,1,3,11,3,1,35,1,3,0
59785,76500,1,3,11,3,1,39,1,5,45026,56612,0,0,2,0,0,19,0,1,1
46852,57230,0,2,4,0,1,26,1,3,39561,46721,0,1,2,0,0,14,0,3,1
40180,46041,0,1,7,1,0,16,0,6,32077,42322,0,1,1,0,0,8,0,0,1
52791,66570,0,2,1,0,0,27,0,3,65619,80726,0,1,11,3,1,50,1,3,0
42435,45656,0,0,3,0,0,19,0,3,52843,57709,0,3,6,1,1,40,0,3,0
62268,83632,1,2,8,0,1,25,1,3,55511,69796,0,2,5,0,0,21,0,3,1
45352,50542,0,0,2,0,0,22,0,3,49560,60412,0,4,4,0,1,31,1,3,0
31801,35674,0,0,1,0,0,21,0,2,24421,30154,0,1,0,0,0,6,0,4,1
59542,69419,1,0,6,0,1,16,0,1,65256,79043,0,4,10,2,0,34,1,5,0
27637,32008,0,0,1,0,0,7,0,5,29206,32805,0,2,1,0,0,15,0,1,0
36138,38124,0,1,3,0,0,19,0,3,30921,31931,0,0,1,0,0,14,0,3,1
72133,89693,1,2,8,1,1,46,0,1,68616,78194,0,2,4,0,0,34,1,2,1
60424,79698,1,2,9,2,1,32,1,2,50848,65136,0,2,2,0,0,19,0,4,1
51190,63506,0,1,2,0,0,21,1,0,57760,70718,1,3,8,1,1,27,0,6,0
38185,48258,0,1,1,0,1,11,0,3,48746,63977,0,1,6,0,0,30,1,3,0
50829,65727,0,3,6,1,1,34,1,5,41408,54181,0,0,1,0,0,12,0,1,1
39705,48461,0,1,5,0,1,20,0,6,31710,39035,0,0,1,0,0,7,0,0,1
46461,53371,0,2,9,2,1,24,0,2,36173,47473,0,1,2,0,0,3,0,4,1
54427,60427,0,1,10,2,0,38,0,6,43513,50129,0,2,3,0,1,20,0,0,1
63379,74568,1,1,10,2,0,39,1,3,54200,60121,0,2,2,0,1,39,0,3,1
43569,54325,0,1,2,0,0,10,0,6,49440,61707,0,3,7,1,1,21,1,0,0
45828,57132,0,1,2,0,0,6,0,3,57140,70293,0,3,8,1,1,17,1,3,0
63523,78926,1,4,9,2,1,32,0,3,58831,77478,0,1,3,0,0,18,1,3,1
62020,79449,1,3,9,1,0,31,1,6,51765,59592,0,1,3,0,1,13,0,0,1
67884,92202,1,4,10,2,1,20,1,3,59705,80055,0,1,2,0,0,11,0,3,1
32218,35138,0,1,3,0,0,16,0,6,21568,26949,0,1,0,0,0,2,0,0,1
54020,69257,0,3,11,2,1,29,1,4,40886,54065,0,0,1,0,0,12,0,2,1
35259,40292,0,0,1,0,0,13,0,0,48276,53614,0,3,9,2,1,33,0,6,0
74769,99915,2,4,10,2,1,30,1,1,70715,82275,0,1,10,2,0,24,0,5,1
88798,112917,2,4,8,2,1,53,0,4,83314,101522,0,1,9,2,0,54,1,2,1
72442,94501,0,5,11,2,0,44,1,2,65582,77885,1,0,8,1,1,26,0,4,1
54315,63345,0,0,5,0,1,20,0,5,63825,82044,1,4,9,1,0,42,1,1,0
71136,81388,0,1,4,0,0,30,1,3,77261,88973,1,2,8,1,1,40,0,0,0
55294,68866,1,2,10,2,1,25,1,6,46906,60856,0,2,0,0,0,25,0,0,1
35505,38040,0,1,4,0,0,17,0,6,24569,30652,0,1,0,0,0,7,0,0,1
48604,60452,1,2,3,0,0,20,0,2,54190,65817,0,1,8,2,1,33,1,3,0
46010,61750,0,0,3,0,0,13,1,3,51364,68314,0,4,9,1,1,21,0,3,0
43556,43435,0,2,7,0,0,32,0,3,29291,34261,0,0,0,0,0,13,0,3,1
50495,65633,0,1,3,0,1,19,1,4,60266,72037,0,3,9,2,0,32,0,2,0
33051,32877,0,0,2,0,0,23,0,6,24811,27619,0,0,0,0,0,6,0,0,1
64570,76084,1,3,10,1,1,40,1,5,51563,59315,0,1,3,0,0,20,0,1,1
81778,128696,0,0,2,0,0,71,0,0,86349,133773,0,0,4,3,0,66,0,0,0
56783,76341,0,0,1,0,0,42,0,0,60575,81026,0,0,4,2,0,44,0,0,0
61249,78228,0,0,4,1,0,34,0,0,55559,67468,0,0,1,0,0,21,0,0,1
78254,115336,0,0,4,2,0,69,0,0,70300,99257,0,0,1,0,0,47,0,0,1
73205,96063,1,2,3,0,1,38,1,0,78200,99155,1,4,7,0,0,42,0,6,0
71895,89448,0,3,5,0,1,28,0,3,78694,97232,1,3,9,1,0,40,1,3,0
46843,54751,0,1,4,0,1,14,0,0,58887,73039,1,3,10,1,0,33,1,6,0
63518,79477,1,2,8,1,1,40,1,4,54683,63726,0,0,5,0,0,31,0,2,1
48775,58141,0,0,4,0,0,17,0,3,62024,81084,1,3,10,2,1,41,1,3,0
24324,28407,0,0,0,0,0,5,0,3,39091,35736,0,1,7,1,0,18,0,3,0
55120,67780,0,1,10,2,1,31,1,4,43026,52387,0,1,0,0,0,16,0,2,1
62680,75148,1,3,11,3,0,33,0,1,53604,67083,0,1,3,0,1,25,1,5,1
55608,70952,0,2,6,0,0,19,0,3,59959,79519,1,2,7,1,1,32,1,3,0
59297,72647,0,0,4,0,0,20,0,4,67679,88641,1,4,8,1,1,35,1,2,0
60315,77470,1,4,11,3,1,29,1,3,49061,61915,0,0,3,0,0,8,0,3,1
65446,77748,1,2,4,0,1,36,0,6,70807,81631,0,2,8,1,0,49,1,0,0
32193,40076,0,0,0,0,0,12,0,0,46465,49436,0,1,7,1,0,29,0,6,0
65495,76373,0,3,6,0,1,31,0,2,73362,89651,1,2,10,1,0,41,1,4,0
