summonerId,puuid,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
ulZ1X3ibAKAKkl2M0Fb2aA7c0k2yqMV-aBlsxuB9kMSI76Xn,7Myf6IcewoTIPjjP60Wvu_meYOPXF8UGhJbD3RwOTjTtdmJkBU5AB1653Z8UXj2bTOvOFEn0OKVrGA,1155,I,337,324,True,False,False,False
3_YPECChQKG7NQfnTsVPEjVMwbpOSenr7vOPvPawOv75xQk4Anl3-du1DQ,PtHj-wXodyfMtuZvqDdFod1__hNxA4_iy_Cuce_VwxmlLEvORSrH5pf00CWWJsNR_jkPzMTSELxppQ,1150,I,161,136,True,False,False,True
CuqjrgylCqfJsIMfFPidI377DI4Mqp8tZCZlNPFQ84snq6g,yvgluxOsiuhqOjy1Y6Ge3t8yYHXWmWFcO9iLfuBUnUfTmHxiwr50NeZhSPGhpWN1k-7rCjq1M2QebA,1147,I,148,111,True,False,False,False
kEgxZh2x_M8zKsmFBzyrc4JYgXZlAIS6UKQJYuuzc4IfjrA,iBsdriRclndLB4xmAobfwKh9l0QuQHO05Yl5_CNvjXvxem2e5hdDZYIyJpeKxyHAt5tvcGouN310FA,1143,I,212,190,True,False,False,False
xxK-dt7Fu92bfnbtNSyP9O13UdHSAUSknEVffoE4QrQI0fU,gT5tsA1ZwwqaNzVFGq_aIed6T_7k_X25-Ey5vRKkI1U-aZ8yaxY7OrxpIBosLqzPIy9bIGVgDDnvig,1142,I,131,90,False,False,False,False
pDHF09ueC8RAIHZW3j_oKfupgtM4N9V7tyxbLl2O6WR-VxrZqNXl9FjTzw,fCQIwMlvAD5C0IehtaXuaAthN8IKmpK-iAXyUn6Z6TU-UTjSm920vHGREh-ZxPmdwthPd98_KGHg6A,1141,I,167,143,True,False,False,False
7yvgjlFvY2AEDEPJoJUHYZBpE5JZzCwuYG7pvLAAIHj-hT4,U2_nNZLs0OW16lxv7H7Mtu_qloVnGyJuotyOKUWQUgfhaeV39W-0f_BvhFMH6IfEZmYjSsnm7mCuPA,1140,I,438,408,True,False,False,False
o5Ab3AyiIAnn-d6NNntfEWOP5NvfirVUACtCg1UmNdjWY1s,IR-p1DkspGgoik3heSY9OB_C6tPI1wdsbKfkk2M92TMUCxbpz8tEVjzpi1ztbtfZ0tUr9cD0GuT_sA,1140,I,161,121,True,False,False,False
9EXug68A-3wMWtpsDR3rt6gT13GnTeC3sX1yKEKHiUrbjjQ,O3to0qlU8ooeDEYy4bI1dHcGS1FJKxz1peneSI5c7mPil5-aTHl49vsxZOxjJRWRqCBpivScOXe8gw,1136,I,190,164,True,False,False,True
vDcPlm9WvrivPKEecrNxKpmx5QESx09y91HUE0VeExZ603hj,Ga23IfjIXpMH_y0dW3eJpz1moni9Z1Q6Cu8LAV48qPq0yqedqU8p8UaSSff9O_CLduyRy0uVNtFi1g,1132,I,157,113,True,False,False,False
